X,Y
0.170000002,0.629999995
0.189999998,0.699999988
0.219999999,0.819999993
0.234999999,0.879999995
0.234999999,1.149999976
0.300000012,1.5
0.349999994,4.400000095
0.419999987,7.300000191
0.850000024,11.30000019
0.24,1.89
0.25,2.63
0.26,3.35
0.27,2.31
0.28,3.22
0.29,3.57
0.3,3.09
0.31,3.88
0.32,3.54
0.33,4.17
0.34,3.91
0.35,3.92
0.36,4.43
0.37,4.89
0.38,5.21
0.39,4.66
0.4,5.55
0.41,5.53
0.42,5.36
0.43,6.06
0.44,5.56
0.45,5.89
0.46,5.68
0.47,6.54
0.48,6.07
0.49,6.14
0.5,7.38
0.51,7.55
0.52,7.03
0.53,7.17
0.54,7.95
0.55,7.74
0.56,8.47
0.57,8.23
0.58,8.75
0.59,7.82
0.6,8.38
0.61,9.08
0.62,8.21
0.63,9.18
0.64,9.89
0.65,9.35
0.66,9.71
0.67,9.36
0.68,9.57
0.69,10.17
0.7,10.03
0.71,10.14
0.72,10.92
0.73,10.59
0.74,11.43
0.75,11.66
0.76,10.75
0.77,11.95
0.78,10.98
0.79,12.29
0.8,12.44
0.81,12.77
0.82,11.75
0.83,12.87
0.84,12.69
0.85,12.95
